,Customer ID,InvoiceDate,monetary,days_between_purchases
0,12346.0,2009-12-14,90.0,
1,12346.0,2009-12-18,23.5,4.0
2,12346.0,2010-01-04,45.0,17.0
3,12346.0,2010-01-14,22.5,10.0
4,12346.0,2010-01-22,22.5,8.0
5,12346.0,2010-03-02,27.05,39.0
6,12346.0,2010-06-28,142.31,118.0
7,12347.0,2010-10-31,611.53,
8,12347.0,2010-12-07,711.79,37.0
9,12348.0,2010-09-27,222.16,
10,12349.0,2010-04-29,1068.52,
11,12349.0,2010-05-18,200.0,19.0
12,12349.0,2010-10-28,1402.62,163.0
13,12351.0,2010-11-29,300.93,
14,12352.0,2010-11-12,143.75,
15,12352.0,2010-11-29,200.05,17.0
16,12353.0,2010-10-27,317.76,
17,12355.0,2010-05-21,488.21000000000004,
18,12356.0,2010-10-11,910.44,
19,12356.0,2010-11-11,2301.96,31.0
20,12356.0,2010-11-24,349.85,13.0
21,12357.0,2010-11-16,12079.99,
22,12358.0,2009-12-08,1429.83,
23,12358.0,2010-06-07,268.1,181.0
24,12358.0,2010-11-29,1021.08,175.0
25,12359.0,2009-12-05,760.69,
26,12359.0,2009-12-16,78.2,11.0
27,12359.0,2010-03-08,337.74,82.0
28,12359.0,2010-03-23,345.6,15.0
29,12359.0,2010-06-22,489.8,91.0
30,12359.0,2010-10-10,551.33,110.0
31,12360.0,2010-02-22,118.00000000000001,
32,12360.0,2010-03-24,40.0,30.0
33,12360.0,2010-05-25,622.04,62.0
34,12360.0,2010-11-12,690.79,171.0
35,12360.0,2010-11-25,120.0,13.0
36,12361.0,2010-01-26,109.19999999999999,
37,12361.0,2010-05-09,98.15,103.0
38,12361.0,2010-09-03,114.0,117.0
39,12362.0,2009-12-01,130.0,
40,12366.0,2010-03-16,500.24,
41,12368.0,2010-03-21,917.6999999999999,
42,12369.0,2010-03-08,348.32,
43,12369.0,2010-09-16,1259.48,192.0
44,12369.0,2010-10-22,183.35,36.0
45,12370.0,2010-02-09,562.96,
46,12370.0,2010-03-25,211.66,44.0
47,12371.0,2010-03-04,607.6800000000001,
48,12371.0,2010-10-26,1571.74,236.0
49,12373.0,2010-02-04,437.90000000000003,
50,12373.0,2010-03-25,325.15000000000003,49.0
51,12374.0,2010-04-30,1388.54,
52,12374.0,2010-10-14,857.75,167.0
53,12376.0,2010-10-18,432.55,
54,12376.0,2010-11-15,70.6,28.0
55,12377.0,2010-04-29,1210.96,
56,12377.0,2010-11-23,587.24,208.0
57,12378.0,2010-05-26,1407.7,
58,12379.0,2010-06-23,367.48,
59,12379.0,2010-10-13,400.5,112.0
60,12380.0,2010-02-15,3017.3,
61,12380.0,2010-03-03,200.0,16.0
62,12380.0,2010-06-29,2597.35,118.0
63,12380.0,2010-08-31,1136.84,63.0
64,12385.0,2010-11-25,1938.4,
65,12386.0,2010-12-08,258.9,
66,12387.0,2010-10-20,143.94,
67,12388.0,2010-05-06,461.62,
68,12388.0,2010-09-20,658.83,137.0
69,12389.0,2010-02-22,164.85,
70,12389.0,2010-05-21,398.18,88.0
71,12389.0,2010-11-02,870.3,165.0
72,12391.0,2010-02-15,712.39,
73,12391.0,2010-02-22,38.099999999999994,7.0
74,12391.0,2010-04-21,1151.7,58.0
75,12391.0,2010-09-01,410.34,133.0
76,12392.0,2010-04-27,234.75000000000003,
77,12393.0,2010-10-07,303.8,
78,12393.0,2010-11-22,513.05,46.0
79,12395.0,2010-04-16,1125.44,
80,12395.0,2010-08-02,251.38,108.0
81,12395.0,2010-10-29,325.72,88.0
82,12395.0,2010-12-03,346.1,35.0
83,12396.0,2010-02-03,931.43,
84,12399.0,2010-03-05,205.98,
85,12399.0,2010-07-08,333.47,125.0
86,12399.0,2010-11-19,314.20000000000005,134.0
87,12400.0,2010-10-21,205.25,
88,12402.0,2010-02-07,191.7,
89,12402.0,2010-04-18,313.65,70.0
90,12402.0,2010-07-06,219.9,79.0
91,12402.0,2010-09-15,150.4,71.0
92,12402.0,2010-11-12,155.65,58.0
93,12403.0,2010-07-06,591.6600000000001,
94,12404.0,2010-01-26,63.24,
95,12406.0,2010-01-11,881.2,
96,12406.0,2010-04-22,748.0,101.0
97,12406.0,2010-11-05,1345.8600000000001,197.0
98,12408.0,2010-07-29,194.1,
99,12408.0,2010-09-15,315.06,48.0
100,12408.0,2010-11-19,943.06,65.0
101,12409.0,2010-05-23,6802.48,
102,12409.0,2010-06-08,211.2,16.0
103,12409.0,2010-07-02,101.88,24.0
104,12409.0,2010-10-15,5231.0599999999995,105.0
105,12410.0,2010-07-25,320.38,
106,12411.0,2010-10-26,346.9,
107,12412.0,2010-06-18,670.88,
108,12412.0,2010-08-09,505.90999999999997,52.0
109,12412.0,2010-11-02,193.26,85.0
110,12413.0,2010-11-02,241.35,
111,12414.0,2010-09-02,390.0,
112,12415.0,2010-06-30,2326.7400000000002,
113,12415.0,2010-07-16,336.24,16.0
114,12415.0,2010-07-30,55.0,14.0
115,12415.0,2010-10-15,250.98,77.0
116,12415.0,2010-10-21,10.0,6.0
117,12415.0,2010-11-04,10.0,14.0
118,12415.0,2010-11-29,16554.88,25.0
119,12416.0,2010-02-21,202.56,
120,12417.0,2009-12-06,309.1,
121,12417.0,2009-12-10,8.5,4.0
122,12417.0,2010-01-08,404.55,29.0
123,12417.0,2010-03-05,498.04,56.0
124,12417.0,2010-04-01,245.76,27.0
125,12417.0,2010-06-17,346.25,77.0
126,12417.0,2010-07-21,184.55,34.0
127,12417.0,2010-09-20,284.8,61.0
128,12417.0,2010-10-01,202.06,11.0
129,12417.0,2010-10-15,340.0,14.0
130,12417.0,2010-10-25,344.2,10.0
131,12418.0,2010-03-19,343.94,
132,12418.0,2010-05-12,535.37,54.0
133,12418.0,2010-10-22,473.31,163.0
134,12419.0,2010-10-22,322.91,
135,12419.0,2010-11-19,180.1,28.0
136,12421.0,2010-07-22,77.8,
137,12421.0,2010-10-20,213.76,90.0
138,12422.0,2009-12-18,75.0,
139,12422.0,2010-02-14,662.25,58.0
140,12422.0,2010-04-08,396.2,53.0
141,12422.0,2010-05-06,1058.45,28.0
142,12422.0,2010-05-20,404.44,14.0
143,12422.0,2010-05-25,80.0,5.0
144,12422.0,2010-07-02,321.72999999999996,38.0
145,12422.0,2010-09-15,358.67,75.0
146,12422.0,2010-10-10,230.0,25.0
147,12422.0,2010-10-29,471.55,19.0
148,12422.0,2010-11-10,369.95,12.0
149,12423.0,2010-08-31,298.8,
150,12423.0,2010-11-17,464.28000000000003,78.0
151,12424.0,2010-06-09,446.54,
152,12424.0,2010-10-13,1132.53,126.0
153,12425.0,2010-09-17,964.21,
154,12426.0,2010-02-15,762.48,
155,12427.0,2010-12-03,303.5,
156,12429.0,2010-06-11,1407.3600000000001,
157,12429.0,2010-09-24,1046.65,105.0
158,12429.0,2010-12-09,1281.5,76.0
159,12431.0,2010-01-15,1120.27,
160,12431.0,2010-03-04,394.59,48.0
161,12431.0,2010-05-21,392.97999999999996,78.0
162,12431.0,2010-05-24,59.92,3.0
163,12431.0,2010-06-23,441.5,30.0
164,12431.0,2010-07-06,294.88,13.0
165,12431.0,2010-07-19,639.38,13.0
166,12431.0,2010-08-17,176.0,29.0
167,12431.0,2010-09-02,127.0,16.0
168,12431.0,2010-10-26,365.75,54.0
169,12431.0,2010-12-01,358.25,36.0
170,12433.0,2010-08-20,152.4,
171,12433.0,2010-09-16,973.69,27.0
172,12433.0,2010-11-05,2292.18,50.0
173,12433.0,2010-12-01,1919.1399999999999,26.0
174,12433.0,2010-12-08,1867.98,7.0
175,12434.0,2010-11-23,297.29,
176,12435.0,2009-12-02,1008.0,
177,12435.0,2010-03-12,728.88,100.0
178,12435.0,2010-08-19,1838.32,160.0
179,12435.0,2010-11-08,2520.84,81.0
180,12437.0,2009-12-02,578.28,
181,12437.0,2010-01-19,609.78,48.0
182,12437.0,2010-02-09,1885.61,21.0
183,12437.0,2010-03-05,334.06,24.0
184,12437.0,2010-03-24,391.59,19.0
185,12437.0,2010-04-14,347.42,21.0
186,12437.0,2010-04-16,114.48,2.0
187,12437.0,2010-06-02,150.8,47.0
188,12437.0,2010-06-24,610.26,22.0
189,12437.0,2010-08-04,220.75,41.0
190,12437.0,2010-09-05,170.3,32.0
191,12437.0,2010-09-07,268.31,2.0
192,12437.0,2010-09-16,75.0,9.0
193,12437.0,2010-09-20,180.82999999999998,4.0
194,12437.0,2010-10-05,253.55,15.0
195,12437.0,2010-10-13,340.5,8.0
196,12437.0,2010-10-15,447.06,2.0
197,12437.0,2010-11-07,326.37,23.0
198,12437.0,2010-11-09,427.04,2.0
199,12439.0,2009-12-14,1081.66,
200,12439.0,2010-01-26,76.52000000000001,43.0
201,12440.0,2009-12-22,568.51,
202,12440.0,2010-09-03,290.69,255.0
203,12441.0,2010-12-08,173.55,
204,12443.0,2009-12-07,485.31,
205,12445.0,2010-10-15,301.58000000000004,
206,12449.0,2010-09-27,678.6,
207,12449.0,2010-10-25,90.0,28.0
208,12450.0,2010-08-22,148.42000000000002,
209,12450.0,2010-09-14,105.6,23.0
210,12450.0,2010-11-05,236.3,52.0
211,12451.0,2010-06-28,2151.27,
212,12451.0,2010-09-02,1483.09,66.0
213,12454.0,2010-10-14,4733.52,
214,12454.0,2010-10-18,220.0,4.0
215,12454.0,2010-10-19,4098.96,1.0
216,12454.0,2010-11-09,4098.96,21.0
217,12455.0,2009-12-18,1636.43,
218,12455.0,2010-03-23,777.91,95.0
219,12455.0,2010-05-11,515.61,49.0
220,12455.0,2010-09-20,483.14,132.0
